Timestamp,PersonBox,MaskLabel
2025-08-12T17:23:36.620178,"418,263,1549,1074",No Mask
2025-08-12T17:23:36.852161,"421,281,1537,1074",No Mask
2025-08-12T17:23:37.017353,"424,287,1531,1074",No Mask
2025-08-12T17:23:37.152467,"424,288,1531,1075",No Mask
2025-08-12T17:23:37.278021,"423,287,1532,1074",No Mask
2025-08-12T17:23:37.432372,"423,284,1536,1074",No Mask
2025-08-12T17:23:37.567240,"422,284,1536,1073",No Mask
2025-08-12T17:23:37.698591,"422,283,1536,1073",No Mask
2025-08-12T17:23:37.833342,"423,284,1536,1074",No Mask
2025-08-12T17:23:37.967048,"423,283,1534,1074",No Mask
2025-08-12T17:23:38.115044,"419,283,1533,1074",No Mask
2025-08-12T17:23:38.232247,"419,279,1541,1074",No Mask
2025-08-12T17:23:38.372951,"415,269,1549,1075",No Mask
2025-08-12T17:23:38.508560,"406,255,1566,1075",No Mask
2025-08-12T17:23:38.629592,"389,240,1569,1074",No Mask
2025-08-12T17:23:38.774242,"384,263,1540,1073",No Mask
2025-08-12T17:23:38.901015,"385,274,1530,1073",No Mask
2025-08-12T17:23:39.042173,"379,250,1554,1073",No Mask
2025-08-12T17:23:39.171621,"360,227,1586,1073",No Mask
2025-08-12T17:23:39.310695,"349,197,1621,1073",No Mask
2025-08-12T17:23:39.434361,"347,174,1660,1072",No Mask
2025-08-12T17:23:39.576303,"342,152,1672,1072",No Mask
2025-08-12T17:23:39.703146,"333,145,1691,1071",No Mask
2025-08-12T17:23:39.842265,"309,140,1700,1071",No Mask
2025-08-12T17:23:39.968132,"335,125,1694,1071",No Mask
2025-08-12T17:23:40.110063,"326,127,1695,1072",No Mask
2025-08-12T17:23:40.235748,"292,139,1687,1069",No Mask
2025-08-12T17:23:40.370621,"304,139,1690,1070",No Mask
2025-08-12T17:23:40.509110,"317,143,1681,1070",No Mask
2025-08-12T17:23:40.636906,"327,148,1668,1072",No Mask
2025-08-12T17:23:40.773710,"316,149,1666,1072",No Mask
2025-08-12T17:23:40.903784,"311,163,1643,1071",No Mask
2025-08-12T17:23:41.037036,"245,170,1637,1069",No Mask
2025-08-12T17:23:41.169652,"232,174,1629,1071",No Mask
2025-08-12T17:23:41.309640,"237,174,1640,1071",No Mask
2025-08-12T17:23:41.435920,"235,170,1644,1071",No Mask
2025-08-12T17:23:41.569763,"241,172,1647,1071",No Mask
2025-08-12T17:23:41.706264,"240,172,1649,1071",No Mask
2025-08-12T17:23:41.839301,"244,173,1653,1070",No Mask
2025-08-12T17:23:41.971315,"234,181,1646,1071",No Mask
2025-08-12T17:23:42.105783,"231,181,1649,1071",No Mask
2025-08-12T17:23:42.239000,"242,178,1656,1071",No Mask
2025-08-12T17:23:42.373674,"234,172,1644,1069",No Mask
2025-08-12T17:23:42.507169,"228,181,1654,1069",No Mask
2025-08-12T17:23:42.637819,"226,206,1601,1069",No Mask
2025-08-12T17:23:42.778103,"235,226,1583,1070",No Mask
2025-08-12T17:23:42.905618,"249,252,1566,1071",No Mask
2025-08-12T17:23:43.043765,"254,267,1557,1071",No Mask
2025-08-12T17:23:43.172334,"255,278,1558,1071",No Mask
2025-08-12T17:23:43.305318,"258,280,1557,1071",No Mask
2025-08-12T17:23:43.443049,"265,273,1558,1071",No Mask
2025-08-12T17:23:43.570709,"258,266,1559,1071",No Mask
2025-08-12T17:23:43.709678,"254,263,1559,1070",No Mask
2025-08-12T17:23:43.837129,"247,262,1562,1069",No Mask
2025-08-12T17:23:43.972964,"258,262,1561,1071",No Mask
2025-08-12T17:23:44.104758,"295,259,1559,1076",No Mask
2025-08-12T17:23:44.244297,"352,255,1550,1074",No Mask
2025-08-12T17:23:44.371502,"368,251,1546,1074",No Mask
2025-08-12T17:23:44.507603,"348,242,1538,1073",No Mask
2025-08-12T17:23:44.639498,"343,236,1543,1073",No Mask
2025-08-12T17:23:44.773257,"328,227,1545,1073",No Mask
2025-08-12T17:23:44.907116,"341,228,1542,1074",No Mask
2025-08-12T17:23:45.037195,"339,232,1541,1073",No Mask
2025-08-12T17:23:45.174893,"346,241,1543,1074",No Mask
2025-08-12T17:23:45.306137,"348,240,1542,1074",No Mask
2025-08-12T17:23:45.440008,"350,240,1542,1075",No Mask
2025-08-12T17:23:45.573998,"352,239,1545,1074",No Mask
2025-08-12T17:23:45.708733,"355,239,1545,1074",No Mask
2025-08-12T17:23:45.838596,"357,240,1545,1074",No Mask
2025-08-12T17:23:45.971024,"357,239,1543,1074",No Mask
2025-08-12T17:23:46.110153,"354,239,1543,1074",No Mask
2025-08-12T17:23:46.254273,"356,239,1543,1074",No Mask
2025-08-12T17:23:46.412149,"358,240,1544,1074",No Mask
2025-08-12T17:23:46.534423,"358,240,1546,1074",No Mask
2025-08-12T17:23:46.670841,"358,238,1546,1074",No Mask
2025-08-12T17:23:46.808944,"358,240,1546,1074",No Mask
2025-08-12T17:23:46.938512,"357,240,1546,1074",No Mask
2025-08-12T17:23:47.075536,"357,240,1544,1074",No Mask
2025-08-12T17:23:47.203082,"358,239,1545,1074",No Mask
2025-08-12T17:23:47.337461,"356,239,1548,1074",No Mask
2025-08-12T17:23:47.477358,"351,239,1548,1074",No Mask
2025-08-12T17:23:47.604353,"347,234,1543,1074",No Mask
2025-08-12T17:23:47.741069,"345,232,1541,1074",No Mask
2025-08-12T17:23:47.872203,"345,236,1541,1074",No Mask
2025-08-12T17:23:48.011687,"346,238,1544,1074",No Mask
2025-08-12T17:23:48.169443,"345,241,1543,1074",No Mask
2025-08-12T17:23:48.316759,"346,242,1546,1073",No Mask
2025-08-12T17:23:48.435962,"346,241,1546,1074",No Mask
2025-08-12T17:23:48.577093,"346,239,1547,1074",No Mask
2025-08-12T17:23:48.704000,"346,239,1549,1074",No Mask
2025-08-12T17:23:48.840058,"345,240,1549,1074",No Mask
2025-08-12T17:23:48.980199,"343,239,1549,1074",No Mask
2025-08-12T17:23:49.105978,"344,239,1549,1074",No Mask
2025-08-12T17:23:49.243164,"344,239,1549,1074",No Mask
2025-08-12T17:23:49.375694,"343,239,1548,1074",No Mask
2025-08-12T17:23:49.504539,"344,238,1549,1073",No Mask
2025-08-12T17:23:49.643857,"345,238,1551,1073",No Mask
2025-08-12T17:23:49.771555,"345,238,1549,1074",No Mask
2025-08-12T17:23:49.910101,"344,238,1547,1074",No Mask
2025-08-12T17:23:50.040325,"346,239,1547,1074",No Mask
2025-08-12T17:23:50.174375,"346,241,1546,1074",No Mask
2025-08-12T17:23:50.305486,"346,237,1543,1073",No Mask
2025-08-12T17:23:50.443110,"348,241,1545,1074",No Mask
2025-08-12T17:23:50.569986,"347,241,1545,1074",No Mask
2025-08-12T17:23:50.712924,"345,237,1542,1073",No Mask
2025-08-12T17:23:50.837694,"356,241,1544,1074",No Mask
2025-08-12T17:23:50.974134,"361,242,1542,1074",No Mask
2025-08-12T17:23:51.107514,"362,242,1542,1074",No Mask
2025-08-12T17:23:51.237365,"354,240,1540,1073",No Mask
2025-08-12T17:23:51.375070,"349,239,1538,1073",No Mask
2025-08-12T17:23:51.435144,"1649,323,1919,986",No Mask
2025-08-12T17:23:51.580237,"346,242,1542,1074",No Mask
2025-08-12T17:23:51.642476,"1747,4,1919,1076",No Mask
2025-08-12T17:23:51.775137,"346,242,1543,1074",No Mask
2025-08-12T17:23:51.842258,"1581,58,1919,1071",No Mask
2025-08-12T17:23:51.977935,"1430,152,1919,1069",No Mask
2025-08-12T17:23:52.040842,"344,236,1542,1073",No Mask
2025-08-12T17:23:52.176555,"346,237,1552,1073",No Mask
2025-08-12T17:23:52.237992,"1268,199,1737,886",No Mask
2025-08-12T17:23:52.376979,"346,238,1544,1073",No Mask
2025-08-12T17:23:52.437773,"1178,243,1755,1046",No Mask
2025-08-12T17:23:52.576812,"346,237,1548,1073",No Mask
2025-08-12T17:23:52.636713,"1154,304,1700,1002",No Mask
2025-08-12T17:23:52.780035,"346,234,1542,1073",No Mask
2025-08-12T17:23:52.906191,"348,239,1544,1074",No Mask
2025-08-12T17:23:53.039952,"348,239,1544,1074",No Mask
2025-08-12T17:23:53.173435,"347,241,1543,1074",No Mask
2025-08-12T17:23:53.307441,"347,241,1543,1074",No Mask
2025-08-12T17:23:53.440247,"347,241,1545,1073",No Mask
2025-08-12T17:23:53.572947,"348,242,1544,1074",No Mask
2025-08-12T17:23:53.707087,"348,244,1543,1074",No Mask
2025-08-12T17:23:53.837967,"349,242,1544,1074",No Mask
2025-08-12T17:23:53.973957,"348,237,1543,1073",No Mask
2025-08-12T17:23:54.112061,"345,236,1544,1073",No Mask
2025-08-12T17:23:54.241566,"341,237,1545,1073",No Mask
2025-08-12T17:23:54.306359,"637,477,828,816",No Mask
2025-08-12T17:23:54.438209,"337,238,1544,1073",No Mask
2025-08-12T17:23:54.571131,"343,240,1545,1075",No Mask
2025-08-12T17:23:54.631187,"612,489,813,820",No Mask
2025-08-12T17:23:54.777753,"348,241,1544,1074",No Mask
2025-08-12T17:23:54.836290,"512,517,788,886",No Mask
2025-08-12T17:23:54.971949,"335,243,1542,1075",No Mask
2025-08-12T17:23:55.031968,"424,523,755,965",No Mask
2025-08-12T17:23:55.178060,"338,243,1543,1074",No Mask
2025-08-12T17:23:55.237106,"408,526,719,964",No Mask
2025-08-12T17:23:55.378883,"342,242,1542,1075",No Mask
2025-08-12T17:23:55.438514,"405,544,683,969",No Mask
2025-08-12T17:23:55.577483,"342,243,1542,1075",No Mask
2025-08-12T17:23:55.637583,"384,549,663,1023",No Mask
2025-08-12T17:23:55.779358,"343,242,1541,1074",No Mask
2025-08-12T17:23:55.838990,"372,555,627,1039",No Mask
2025-08-12T17:23:55.975235,"345,241,1542,1074",No Mask
2025-08-12T17:23:56.035543,"345,559,570,1059",No Mask
2025-08-12T17:23:56.176207,"349,242,1542,1074",No Mask
2025-08-12T17:23:56.235033,"323,565,539,1043",No Mask
2025-08-12T17:23:56.382088,"353,239,1539,1073",No Mask
2025-08-12T17:23:56.443551,"321,563,533,1073",No Mask
2025-08-12T17:23:56.574933,"354,243,1539,1074",No Mask
2025-08-12T17:23:56.635181,"322,561,515,1072",No Mask
2025-08-12T17:23:56.773655,"353,244,1538,1075",No Mask
2025-08-12T17:23:56.834180,"321,562,511,1072",No Mask
2025-08-12T17:23:56.974827,"346,243,1540,1074",No Mask
2025-08-12T17:23:57.034225,"325,558,534,1069",No Mask
2025-08-12T17:23:57.175111,"352,244,1532,1073",No Mask
2025-08-12T17:23:57.235555,"338,548,563,1040",No Mask
2025-08-12T17:23:57.379110,"343,241,1542,1073",No Mask
2025-08-12T17:23:57.439326,"367,522,577,1010",No Mask
2025-08-12T17:23:57.578533,"344,244,1542,1073",No Mask
2025-08-12T17:23:57.639502,"361,516,597,1013",No Mask
2025-08-12T17:23:57.777229,"343,244,1544,1073",No Mask
2025-08-12T17:23:57.836868,"370,527,644,997",No Mask
2025-08-12T17:23:58.033022,"438,517,722,940",No Mask
2025-08-12T17:29:09.064686,"333,396,1451,1074",No Mask
2025-08-12T17:29:09.247131,"339,397,1448,1073",No Mask
2025-08-12T17:29:09.387980,"339,401,1449,1073",No Mask
2025-08-12T17:29:09.527655,"337,399,1450,1074",No Mask
2025-08-12T17:29:09.642832,"338,392,1451,1074",No Mask
2025-08-12T17:29:09.781198,"335,394,1451,1074",No Mask
2025-08-12T17:29:09.915685,"336,394,1451,1074",No Mask
2025-08-12T17:29:10.047259,"336,397,1453,1074",No Mask
2025-08-12T17:29:10.184711,"337,393,1450,1074",No Mask
2025-08-12T17:29:10.324195,"336,381,1456,1074",No Mask
2025-08-12T17:29:10.447410,"327,356,1494,1075",No Mask
2025-08-12T17:29:10.585115,"298,324,1503,1073",No Mask
2025-08-12T17:29:10.725964,"297,286,1538,1072",No Mask
2025-08-12T17:29:10.851364,"260,239,1568,1072",No Mask
2025-08-12T17:29:10.985552,"256,194,1618,1070",No Mask
2025-08-12T17:29:11.126792,"273,163,1650,1071",No Mask
2025-08-12T17:29:11.251866,"269,153,1676,1071",No Mask
2025-08-12T17:29:11.388164,"274,141,1679,1071",No Mask
2025-08-12T17:29:11.521834,"204,129,1680,1070",No Mask
2025-08-12T17:29:11.657304,"208,111,1672,1068",No Mask
2025-08-12T17:29:11.790123,"198,88,1707,1067",No Mask
2025-08-12T17:29:11.926200,"177,79,1730,1068",No Mask
2025-08-12T17:29:12.050406,"195,64,1744,1066",No Mask
2025-08-12T17:29:12.183594,"219,67,1734,1067",No Mask
2025-08-12T17:29:12.321626,"231,65,1720,1067",No Mask
2025-08-12T17:29:12.459240,"221,63,1722,1068",No Mask
2025-08-12T17:29:12.588450,"203,64,1733,1068",No Mask
2025-08-12T17:29:12.718632,"201,54,1718,1069",No Mask
2025-08-12T17:29:12.856303,"409,46,1716,1070",No Mask
2025-08-12T17:29:12.985254,"207,49,1766,1071",No Mask
2025-08-12T17:29:13.121672,"237,50,1769,1070",No Mask
2025-08-12T17:29:13.253858,"223,33,1794,1070",No Mask
2025-08-12T17:29:13.386765,"166,12,1825,1072",No Mask
2025-08-12T17:29:13.522917,"232,7,1858,1072",No Mask
2025-08-12T17:29:13.655889,"389,10,1874,1072",No Mask
2025-08-12T17:29:13.789247,"225,4,1912,1072",No Mask
2025-08-12T17:29:13.920137,"220,2,1905,1071",No Mask
2025-08-12T17:29:14.058288,"173,0,1895,1070",No Mask
2025-08-12T17:29:14.189858,"165,0,1901,1069",No Mask
2025-08-12T17:29:14.325368,"188,0,1908,1071",No Mask
2025-08-12T17:29:14.453390,"161,1,1908,1072",No Mask
2025-08-12T17:29:14.594161,"184,10,1852,1070",No Mask
2025-08-12T17:29:14.721851,"234,18,1792,1069",No Mask
2025-08-12T17:29:14.855995,"213,64,1729,1069",No Mask
2025-08-12T17:29:14.990666,"157,98,1700,1068",No Mask
2025-08-12T17:29:15.125909,"206,150,1665,1068",No Mask
2025-08-12T17:29:15.252836,"142,182,1625,1070",No Mask
2025-08-12T17:29:15.390556,"212,203,1633,1071",No Mask
2025-08-12T17:29:15.523228,"218,222,1602,1071",No Mask
2025-08-12T17:29:15.661123,"140,240,1601,1071",No Mask
2025-08-12T17:29:15.787664,"168,254,1593,1070",No Mask
2025-08-12T17:29:15.920228,"155,264,1597,1071",No Mask
2025-08-12T17:29:16.061742,"154,263,1590,1071",No Mask
2025-08-12T17:29:16.187054,"141,262,1602,1072",No Mask
2025-08-12T17:29:16.323419,"147,265,1613,1073",No Mask
2025-08-12T17:29:16.455664,"169,264,1619,1072",No Mask
2025-08-12T17:29:16.591087,"182,263,1621,1072",No Mask
2025-08-12T17:29:16.722806,"204,262,1625,1072",No Mask
